,0
907,44311.99999999999
908,44410.79999999999
909,44241.59999999999
910,44521.8
911,44249.7
912,44676.80000000001
913,44480.30000000001
914,44432.00000000001
915,44345.40000000001
916,44366.200000000004
917,44381.30000000001
918,44304.400000000016
919,44294.60000000001
920,44345.000000000015
921,44287.20000000001
922,44284.900000000016
923,44312.10000000001
924,44387.10000000001
925,44244.000000000015
926,44469.2
927,44436.4
928,44358.8
929,44324.2
930,44368.90000000001
931,44317.70000000001
932,44330.700000000004
933,44210.700000000004
934,44220.90000000001
935,44503.1
936,44207.9
937,44210.600000000006
938,44242.50000000001
939,44312.40000000001
940,44233.20000000001
941,44423.30000000001
942,44134.200000000004
943,44489.00000000001
944,44222.600000000006
945,44421.00000000001
946,44460.00000000001
947,44369.00000000001
948,44464.00000000001
949,44093.20000000001
950,44383.00000000001
951,44173.30000000001
952,44516.00000000001
953,44215.600000000006
954,44361.700000000004
955,44317.80000000001
956,44280.60000000001
957,44312.700000000004
958,44360.8
959,44400.4
960,44383.99999999999
961,44374.0
962,44248.1
963,44334.2
964,44269.799999999996
965,44509.9
966,44116.9
967,44385.2
968,44417.100000000006
969,44421.0
970,44411.3
971,44560.00000000001
972,44295.20000000001
973,44563.00000000001
974,44265.20000000001
975,44429.30000000001
976,44297.600000000006
977,44401.60000000001
978,44335.000000000015
979,44165.40000000001
980,44530.000000000015
981,44267.500000000015
982,44424.000000000015
983,44186.80000000001
984,44487.000000000015
985,44134.30000000002
986,44326.60000000001
987,44364.20000000002
988,44278.900000000016
989,44457.70000000002
990,44385.80000000002
991,44312.70000000001
992,44250.70000000001
993,44403.30000000002
994,44268.20000000001
995,44480.00000000001
996,44123.70000000001
997,44409.000000000015
998,44294.90000000001
999,44285.60000000001
1000,44263.8
1001,44336.8
1002,44394.3
1003,44406.5
1004,44322.7
1005,44536.00000000001
1006,44219.80000000001
1007,44431.200000000004
1008,44396.90000000001
1009,44400.00000000001
1010,44279.50000000001
1011,44308.80000000001
1012,44377.50000000001
1013,44292.80000000001
1014,44289.100000000006
1015,44291.60000000001
1016,44314.900000000016
1017,44386.80000000002
1018,44276.30000000002
1019,44531.500000000015
1020,44483.70000000001
1021,44442.90000000002
1022,44307.000000000015
1023,44449.000000000015
1024,44131.000000000015
1025,44348.000000000015
1026,44401.3
1027,44234.3
1028,44347.3
1029,44310.8
1030,44347.7
1031,44262.700000000004
1032,44441.8
1033,44353.700000000004
1034,44451.00000000001
1035,44416.50000000001
1036,44275.00000000001
1037,44615.0
1038,44595.9
1039,44675.80000000001
1040,44415.50000000001
1041,44517.00000000001
1042,44252.50000000001
1043,44317.30000000001
1044,44321.600000000006
1045,44341.20000000001
1046,44365.000000000015
1047,44163.000000000015
1048,44464.000000000015
1049,44402.70000000001
1050,44366.70000000001
1051,44373.00000000001
1052,44315.700000000004
1053,44363.100000000006
1054,44419.4
1055,44099.50000000001
1056,44306.50000000001
1057,44256.8
1058,44309.40000000001
1059,44309.50000000001
1060,44460.40000000001
1061,44329.50000000001
1062,44587.200000000004
1063,44479.200000000004
1064,44319.4
1065,44213.3
1066,44330.0
1067,44224.2
1068,44456.600000000006
1069,44220.7
1070,44445.09999999999
1071,44360.99999999999
1072,44196.69999999999
1073,44396.899999999994
1074,44221.299999999996
1075,44397.9
1076,44355.2
1077,44422.69999999999
1078,44329.39999999999
1079,44559.39999999999
1080,44416.999999999985
1081,44567.999999999985
1082,44200.69999999998
1083,44295.79999999999
1084,44320.89999999999
1085,44309.399999999994
1086,44416.29999999998
1087,44193.89999999998
1088,44366.899999999994
1089,44372.799999999996
1090,44430.19999999999
1091,44252.1
1092,44351.299999999996
1093,44497.49999999999
1094,44094.99999999999
1095,44345.499999999985
1096,44407.69999999999
1097,44276.89999999999
1098,44360.299999999996
1099,44293.69999999999
1100,44333.299999999996
1101,44495.59999999999
1102,44224.59999999999
1103,44222.29999999999
1104,44308.999999999985
1105,44200.49999999998
1106,44381.999999999985
1107,44269.499999999985
1108,44227.699999999975
1109,44434.99999999998
1110,44253.69999999998
1111,44405.69999999998
1112,44286.39999999998
1113,44313.79999999999
